ID do NOX;Latitude;Longitude
14000001;-23,248899;-45,933701
14000003;-23,442266;-46,442272
14000004;-23,224199;-45,903301
14000006;-23,352551;-46,199820
14000007;-23,441500;-46,443199
14000009;-23,255329;-45,943126
14000010;-23,256001;-45,943901
14000013;-23,454800;-46,473400
14000014;-22,518395;-44,707726
14000017;-23,490525;-46,549387
14000019;-23,469770;-46,512180
14000020;-46,430099;-46,430099
14000021;-23,255400;-45,943501
14000022;-22,519067;-44,708995
14000024;-23,332048;-46,136821
14000026;-23,441445;-46,442346
14000027;-23,493110;-46,551923
14000028;-22,488989;-44,553865
14000029;-23,469067;-46,510842
14000030;-22,462141;-44,478881
14000032;-23,454900;-46,473164
14000033;-23,498401;-45,915362
14000034;-23,441346;-46,443009
14000039;-23,454694;-46,473264
14000040;-23,270120;-45,966676
14000045;-23,224899;-45,905701
14000050;-23,401766;-46,311681
14000052;-23,441799;-46,443600
14000054;-23,255400;-45,943199
14000056;-22,517495;-44,706245
14000058;-23,232625;-45,915007
14000059;-23,352035;-46,181286
14000061;-22,517676;-44,706509
14000063;-23,498636;-45,915779
14000065;-23,352545;-46,199804
14000067;-23,232000;-45,913399
14000070;-23,106453;-45,697506
14000072;-23,226163;-45,906776
14000078;-23,252570;-45,904860
14000079;-23,454599;-46,472801
14000082;-23,352501;-46,181211
14000083;-22,516671;-44,704745
14000084;-23,270121;-45,966677
14000085;-23,454672;-46,472622
14000087;-22,487499;-44,550800
14000090;-23,106494;-45,697512
14000091;-23,490877;-46,549706
14000092;-23,441700;-46,443445
14000093;-23,454901;-46,474400
14000094;-23,229300;-45,910400
14000098;-23,492630;-46,552342
14000099;-23,440954;-46,441788
14000100;-23,272025;-45,969502
14000104;-22,516512;-44,704487
14000108;-23,497164;-46,558519
14000113;-23,331910;-46,136544
14000114;-23,442537;-46,441676
14000115;-22,457350;-44,416179
14000117;-23,500153;-46,559686
14000118;-22,465700;-44,491299
14000121;-23,270738;-45,967635
14000122;-22,488166;-44,552479
14000126;-23,271987;-45,969530
14000130;-23,441192;-46,442760
14000131;-22,891615;-45,291057
14000132;-22,518933;-44,708733
14000134;-22,487578;-44,552100
14000136;-22,488491;-44,552822
14000140;-22,517390;-44,705994
14000144;-23,352522;-46,199450
14000150;-22,466024;-44,499744
14000151;-22,517108;-44,705497
