ID do NOX;Latitude;Longitude
14001319;0;0
14000002;0;0
14000003;-23,442266;-46,442272
14000004;-23,224199;-45,903301
14000005;0;0
14000006;-23,352551;-46,19982
14000007;-23,4415;-46,443199
14000008;0;0
14000009;-23,255329;-45,943126
14000010;-23,256001;-45,943901
14000011;0;0
14000012;0;0
14000013;-23,4548;-46,4734
14000014;-22,518395;-44,707726
14000015;0;0
14000016;0;0
14000017;-23,490525;-46,549387
14000018;0;0
14000019;-23,46977;-46,51218
14000020;-46,430099;-46,430099
14000021;-23,2554;-45,943501
14000022;-22,519067;-44,708995
14000023;0;0
14000024;-23,332048;-46,136821
14000025;0;0
14000026;-23,441445;-46,442346
14000027;-23,49311;-46,551923
14000028;-22,488989;-44,553865
14000029;-23,469067;-46,510842
14000030;-22,462141;-44,478881
14000031;0;0
14000032;-23,4549;-46,473164
14000033;-23,498401;-45,915362
14000034;-23,441346;-46,443009
14000035;0;0
14000036;0;0
14000037;0;0
14000038;0;0
14000039;-23,454694;-46,473264
14000040;-23,27012;-45,966676
14000041;0;0
14000042;0;0
14000043;0;0
14000044;0;0
14000045;-23,224899;-45,905701
14000046;0;0
14000047;0;0
14000048;0;0
14000049;0;0
14000050;-23,401766;-46,311681
14000051;0;0
14000052;-23,441799;-46,4436
14000053;0;0
14000054;-23,2554;-45,943199
14000055;0;0
14000056;-22,517495;-44,706245
14000057;0;0
14000058;-23,232625;-45,915007
14000059;-23,352035;-46,181286
14000060;0;0
14000061;-22,517676;-44,706509
14000062;0;0
14000063;-23,498636;-45,915779
14000064;0;0
14000065;-23,352545;-46,199804
14000066;0;0
14000067;-23,232;-45,913399
14000068;0;0
14000069;0;0
14000070;-23,106453;-45,697506
14000071;0;0
14000072;-23,226163;-45,906776
14000073;0;0
14000074;0;0
14000075;0;0
14000076;0;0
14000077;0;0
14000078;-23,25257;-45,90486
14000079;-23,454599;-46,472801
14000080;0;0
14000081;0;0
14000082;-23,352501;-46,181211
14000083;-22,516671;-44,704745
14000084;-23,270121;-45,966677
14000085;-23,454672;-46,472622
14000086;0;0
14000087;-22,487499;-44,5508
14000088;0;0
14000089;0;0
14000090;-23,106494;-45,697512
14000091;-23,490877;-46,549706
14000092;-23,4417;-46,443445
14000093;-23,454901;-46,4744
14000094;-23,2293;-45,9104
14000095;0;0
14000096;0;0
14000097;0;0
14000098;-23,49263;-46,552342
14000099;-23,440954;-46,441788
14000100;-23,272025;-45,969502
14000101;0;0
14000102;0;0
14000103;0;0
14000104;-22,516512;-44,704487
14000105;0;0
14000106;0;0
14000107;0;0
14000108;-23,497164;-46,558519
14000109;0;0
