KM;LAT;LONG;;;;;KM;LAT;LONG
0;-22,514158;-44,700062;;;;;214;-22,71463;-43,728015
0,01;-22,514208;-44,700144;;;;;214,01;-22,714618;-43,728103
0,02;-22,514258;-44,700226;;;;;214,02;-22,714606;-43,728191
0,03;-22,514306;-44,700309;;;;;214,03;-22,714594;-43,728279
0,04;-22,514351;-44,700393;;;;;214,04;-22,714582;-43,728367
0,05;-22,5144;-44,700475;;;;;214,05;-22,71457;-43,728454
0,06;-22,514444;-44,70056;;;;;214,06;-22,714558;-43,728542
0,07;-22,514485;-44,700647;;;;;214,07;-22,714545;-43,72863
0,08;-22,514531;-44,700731;;;;;214,08;-22,714533;-43,728718
0,09;-22,514577;-44,700815;;;;;214,09;-22,714521;-43,728806
0,1;-22,514624;-44,700899;;;;;214,1;-22,714509;-43,728894
0,11;-22,51467;-44,700983;;;;;214,11;-22,714497;-43,728982
0,12;-22,514717;-44,701067;;;;;214,12;-22,714485;-43,72907
0,13;-22,514764;-44,70115;;;;;214,13;-22,714473;-43,729157
0,14;-22,514812;-44,701233;;;;;214,14;-22,714461;-43,729245
0,15;-22,51486;-44,701316;;;;;214,15;-22,714449;-43,729333
0,16;-22,514908;-44,701399;;;;;214,16;-22,714437;-43,729421
0,17;-22,514955;-44,701483;;;;;214,17;-22,714425;-43,729509
0,18;-22,515002;-44,701566;;;;;214,18;-22,714413;-43,729597
0,19;-22,515048;-44,70165;;;;;214,19;-22,714401;-43,729685
0,2;-22,515093;-44,701735;;;;;214,2;-22,714389;-43,729773
0,21;-22,51514;-44,701818;;;;;214,21;-22,714376;-43,72986
0,22;-22,515187;-44,701902;;;;;214,22;-22,714364;-43,729948
0,23;-22,515233;-44,701986;;;;;214,23;-22,714352;-43,730036
0,24;-22,51528;-44,70207;;;;;214,24;-22,71434;-43,730124
0,25;-22,515327;-44,702153;;;;;214,25;-22,714328;-43,730212
0,26;-22,515374;-44,702236;;;;;214,26;-22,714316;-43,7303
0,27;-22,515421;-44,70232;;;;;214,27;-22,714304;-43,730388
0,28;-22,515468;-44,702403;;;;;214,28;-22,714292;-43,730476
0,29;-22,515516;-44,702487;;;;;214,29;-22,71428;-43,730563
0,3;-22,515563;-44,702571;;;;;214,3;-22,714268;-43,730651
0,31;-22,515611;-44,702654;;;;;214,31;-22,714255;-43,730739
0,32;-22,515658;-44,702737;;;;;214,32;-22,714241;-43,730827
0,33;-22,515705;-44,702821;;;;;214,33;-22,714227;-43,730914
0,34;-22,515752;-44,702904;;;;;214,34;-22,714213;-43,731002
0,35;-22,515799;-44,702987;;;;;214,35;-22,714199;-43,731089
0,36;-22,515846;-44,703071;;;;;214,36;-22,714185;-43,731177
0,37;-22,515893;-44,703154;;;;;214,37;-22,714171;-43,731264
0,38;-22,515941;-44,703238;;;;;214,38;-22,714174;-43,731352
0,39;-22,515989;-44,703321;;;;;214,39;-22,714182;-43,73144
0,4;-22,516039;-44,703402;;;;;214,4;-22,71417;-43,731528
0,41;-22,516092;-44,703483;;;;;214,41;-22,714158;-43,731615
0,42;-22,516147;-44,703561;;;;;214,42;-22,714145;-43,731703
0,43;-22,516199;-44,703641;;;;;214,43;-22,714133;-43,73179
0,44;-22,516242;-44,703727;;;;;214,44;-22,71412;-43,731879
