ID do NOX;Latitude;Longitude;Plaqueta
14000150;-22,4660238;-44,499744;ES316SPSP918
14000229;-23,39531;-46,2899824;MS196SPSP1028
14000271;-22,4663085;-44,4994779;MS316SPSP917
14000280;-23,3525066;-46,1815775;MN184RJRJ1231
14000320;-23,3901897;-46,2795057;MS195SPSP1037
14000919;-23,45882667;-46,48256333;ES219SPN1505
14000976;-23,2516;-45,9372;EN156SPN68
14000981;-23,252;-45,9379;MN156PN65
14000999;-23,2513;-45,9367;MN156PN70
14001046;-23,4027735;-46,3319071;MS200SPSP1126
14001061;-23,4034657;-46,3318444;MS200SPSP1152
14001082;-23,4027639;-46,3313055;MS200SPSP1131
14001270;-23,4044666;-46,3307456;MN201RJRJ1183
14001272;-23,4046933;-46,330876;MN201RJRJ1178
14001286;-23,4047019;-46,3308639;MN201RJRJ1179
14001330;-23,4047594;-46,3323397;MN201RJRJ1185
14001569;-23,4097169;-46,3429718;MN202RJRJ1194
14001600;-23,3643131;-46,2247578;MN189RJRJ1257
14001658;-22,6783269;-43,8133297;MS224SPSP861
14001805;-22,6652737;-43,8777302;MN237RJRJ794
14001844;-23,4041546;-46,3300447;MN200RJRJ1230
14001850;-23,4023574;-46,3286128;MS200SPSP1150
14001858;-22,6923661;-43,7832392;ES220SPSP872
14001917;-23,404144;-46,3300145;MN200RJRJ1274
14001918;-23,4023463;-46,3315221;MS200SPSP1132
14002004;-23,2507;-45,9357;EN156SPN74
14002216;-23,2532;-45,9407;ES156SPN44
14002349;-23,52214444;-46,58536389;ES230SPN2516
18000233;-23,4035317;-46,3321182;MS200SPSP1110
18000239;-22,630423;-43,9097585;MS242SPSP46
18000312;-23,4035065;-46,3321259;MS200SPSP1111
18000379;-22,5996417;-43,9469056;MS248SPSP35
18000478;-23,41411091;-46,36320641;ENPP204SP2L2
18000544;-22,555871;-44,1733882;MN277RJRJ816
18000633;-23,1777683;-45,8396287;MS143SPSP235
18000693;-22,5602907;-44,8594524;MN18RJRJ610
18000723;-23,0292443;-45,5466078;MS108SPSP184
18000782;-22,7602013;-45,1185203;MS54SPSP148
18000903;-22,5298898;-44,7455245;MN5RJRJ694
18000941;-22,5196541;-44,7100755;MN1RJRJ677
18001132;-22,7813018;-45,1467526;MN58RJRJ591
18001174;-22,751887;-45,1049112;MN52RJRJ571
18001182;-23,2749615;-45,9737607;MN160RJRJ403
18001198;-22,7518797;-45,10493;MN52RJRJ573
18001224;-23,2787635;-45,9793871;MN161RJRJ409
18001330;-22,8749566;-45,258731;MN74RJRJ543
18001345;-22,8748663;-45,2590508;MN74RJRJ553
18001368;-22,8748747;-45,2593105;MN74RJRJ554
18001370;-23,46503;-46,49856167;MN219SPN1487
18001412;-23,46522167;-46,49899833;MN219SPN1485
18001422;-23,3219851;-46,1121442;MN176RJRJ372
18001440;-23,46438;-46,49851833;MS219SPN1492
18001469;-23,46494333;-46,49843167;MN219SPN1488
18001672;-23,41348629;-46,3603274;ENPP204SP11L4
18001689;-23,52238056;-46,58523056;EN230SPN2515
18001713;-23,52130556;-46,58428611;MN230SPN2506
18001719;-23,50254167;-46,56630833;MS227SPN2273
18001727;-23,3217564;-46,1121506;MS176SPSP323
18001740;-23,3217677;-46,1117158;MS176SPSP324
18001742;-23,3215522;-46,1012506;MS175SPSP322
18001755;-23,50382778;-46,56811944;MS228SPN2303
18001841;-23,51681111;-46,58033333;MS229SPN2463
18001854;-23,51726389;-46,58042222;EN230SPN2466
18001882;-23,029328;-45,5459323;MN108RJRJ524
18001898;-23,0292599;-45,5456302;MN108RJRJ460
18001955;-23,0293484;-45,5459332;MN108RJRJ532
18001957;-23,0292509;-45,5456044;MN108RJRJ461
18002006;-23,52171111;-46,585;ES230SPN2511
18002083;-23,52557222;-46,588075;ES231SPN2563
18002098;-23,52430278;-46,58677222;MN231SPN2543
18002140;-23,51951389;-46,582575;MN230SPN2488
18002167;-23,52323889;-46,58594722;MN230SPN2527
18002176;-23,524975;-46,58760278;MS231SPN2557
18002180;-23,52111111;-46,58411111;MN230SPN2504
18002197;-23,5035;-46,567675;MS228SPN2297
18002265;-23,52031389;-46,58366944;MS230SPN2497
18002275;-23,50573056;-46,56976111;ES228SPN2333
18002462;-23,50593611;-46,56996111;MS228SPN2336
18002538;-23,50362222;-46,56739444;MS228SPN2299
18002789;23,2884687;45,9952149;ES163SP1575
18002813;23,2884561;45,9951988;ES163SP1574
18004210;-23,41398531;-46,36269512;ENPP204SP3L2
18004366;-23,41428203;-46,36378577;ENPP204SP1L2
18004453;-23,41360984;-46,36064742;ENPP204SP9L6
18004538;-23,2678034;-45,963061;ES159SPSP1382
18004561;-23,2678141;-45,9630594;ES159SPSP1383
18004565;-23,2685915;-45,9642688;ES159SPSP1372
18004569;-23,2673485;-45,9623356;ES159SPSP1388
18004587;23,2698102;45,9661832;ES159SP1529
18004606;-23,41379936;-46,36108504;ENPP204SP8L8
18004617;23,2693631;45,9654637;ES159SP1535
18004622;23,2690502;45,9649776;ES159SP1540
18004736;23,2936054;46,003207;ES164SP1589
18004779;23,2822646;45,9855558;ES162SP1471
18004858;-22,8588802;-45,2335568;ES71SPSP1356
18004870;-23,3470414;-46,1663916;EN182RJRJ1348
18004913;23,282272;45,9855575;ES162SP1472
18006329;-23,41280816;-46,36196941;ESPP204SP8L2
18006380;-23,41280816;-46,36196941;ESPP204SP8L3
18006523;-23,41270196;-46,36153967;ESPP204SP7L2
18006543;-23,41233818;-46,35983655;ESPP204SP5L5
18006779;-23,41339045;-46,360058;ENPP204SP12L1
18006921;-23,41325261;-46,35970764;ENPP204SP13L3
